Name,Life Expectancy
"Cherry County, Nebraska",78.5
"Chesapeake city, Virginia",77.374358974359
"Cheshire County, New Hampshire",80.42
"Chester County, Pennsylvania",80.77272727272727
"Chester County, South Carolina",73.75454545454546
"Chester County, Tennessee",75.10000000000001
"Chesterfield County, South Carolina",75.42
"Chesterfield County, Virginia",78.97777777777777
"Cheyenne County, Colorado",89.5
"Cheyenne County, Kansas",81.4
"Cheyenne County, Nebraska",80.60000000000001
"Chickasaw County, Iowa",81.275
"Chickasaw County, Mississippi",76.22500000000001
"Chicot County, Arkansas",74.44999999999999
"Childress County, Texas",78.4
"Chilton County, Alabama",73.92222222222223
"Chippewa County, Michigan",78.06363636363636
"Chippewa County, Minnesota",80.07499999999999
"Chippewa County, Wisconsin",80.01818181818182
"Chisago County, Minnesota",80.28
"Chittenden County, Vermont",81.12580645161289
"Choctaw County, Alabama",74.7
"Choctaw County, Mississippi",73.8
"Choctaw County, Oklahoma",73.88
"Chouteau County, Montana",81.6
"Chowan County, North Carolina",77.3
"Christian County, Illinois",76.43
"Christian County, Kentucky",75.24285714285713
"Christian County, Missouri",79.11428571428573
"Churchill County, Nevada",78.06666666666666
"Cibola County, New Mexico",76.97142857142858
"Cimarron County, Oklahoma",82.45
"Citrus County, Florida",75.06296296296297
"Clackamas County, Oregon",79.89740259740257
"Claiborne County, Mississippi",74.60000000000001
"Claiborne County, Tennessee",73.5625
"Claiborne Parish, Louisiana",75.7
"Clallam County, Washington",78.85
"Clare County, Michigan",75.19000000000001
"Clarendon County, South Carolina",75.39999999999999
"Clarion County, Pennsylvania",79.17999999999999
"Clark County, Arkansas",74.97999999999999
"Clark County, Idaho",
"Clark County, Illinois",76.575
"Clark County, Indiana",75.32692307692308
"Clark County, Kansas",86.6
"Clark County, Kentucky",74.73
"Clark County, Missouri",76.86666666666667
"Clark County, Nevada",77.28933649289093
"Clark County, Ohio",74.31463414634146
"Clark County, South Dakota",80.9
"Clark County, Washington",79.15510204081632
"Clark County, Wisconsin",80.825
"Clarke County, Alabama",74.38750000000002
"Clarke County, Georgia",77.49166666666665
"Clarke County, Iowa",78.03333333333333
"Clarke County, Mississippi",73.075
"Clarke County, Virginia",80.10000000000001
"Clatsop County, Oregon",77.9909090909091
"Clay County, Alabama",74.6
"Clay County, Arkansas",73.66666666666667
"Clay County, Florida",77.18620689655172
"Clay County, Georgia",72.2
"Clay County, Illinois",76.125
"Clay County, Indiana",78.21666666666665
"Clay County, Iowa",80.05000000000001
"Clay County, Kansas",78.15
"Clay County, Kentucky",72.375
"Clay County, Minnesota",79.8923076923077
"Clay County, Mississippi",74.44999999999999
"Clay County, Missouri",78.41666666666667
"Clay County, Nebraska",79.6
"Clay County, North Carolina",78.19999999999999
"Clay County, South Dakota",78.86666666666666
"Clay County, Tennessee",73.05
"Clay County, Texas",77.7
"Clay County, West Virginia",76.0
"Clayton County, Georgia",75.40476190476191
"Clayton County, Iowa",79.69999999999999
"Clear Creek County, Colorado",82.9
"Clearfield County, Pennsylvania",78.12
"Clearwater County, Idaho",76.85
"Clearwater County, Minnesota",79.16666666666667
"Cleburne County, Alabama",73.3
"Cleburne County, Arkansas",76.71428571428571
"Clermont County, Ohio",77.6236842105263
"Cleveland County, Arkansas",76.75
"Cleveland County, North Carolina",74.56190476190477
"Cleveland County, Oklahoma",76.62884615384615
"Clinch County, Georgia",73.0
"Clinton County, Illinois",79.83749999999999
"Clinton County, Indiana",77.5375
"Clinton County, Iowa",77.90833333333333
"Clinton County, Kentucky",73.66666666666667
"Clinton County, Michigan",79.89999999999999
"Clinton County, Missouri",76.75
"Clinton County, New York",79.63749999999997
"Clinton County, Ohio",75.23333333333333
"Clinton County, Pennsylvania",79.16666666666666
"Cloud County, Kansas",76.875
"Coahoma County, Mississippi",74.41428571428571
"Coal County, Oklahoma",75.0
"Cobb County, Georgia",79.41962616822434
"Cochise County, Arizona",78.1642857142857
"Cochran County, Texas",76.3
"Cocke County, Tennessee",72.7
"Coconino County, Arizona",78.92399999999999
"Codington County, South Dakota",82.47142857142856
"Coffee County, Alabama",76.5357142857143
"Coffee County, Georgia",73.16250000000001
"Coffee County, Tennessee",74.4090909090909
"Coffey County, Kansas",77.03333333333333
"Coke County, Texas",81.2
"Colbert County, Alabama",73.62857142857145
"Cole County, Missouri",77.6
"Coleman County, Texas",77.46666666666665
"Coles County, Illinois",77.21000000000001
"Colfax County, Nebraska",80.73333333333333
"Colfax County, New Mexico",81.53333333333333
"Colleton County, South Carolina",73.53333333333332
"Collier County, Florida",81.59152542372883
"Collin County, Texas",80.54999999999998
"Collingsworth County, Texas",76.3
"Colonial Heights city, Virginia",76.88
"Colorado County, Texas",79.47999999999999
"Colquitt County, Georgia",75.30999999999999
"Columbia County, Arkansas",77.14000000000001
"Columbia County, Florida",74.75454545454546
