Name,Median Household Income,Life Expectancy
"Muscogee County, Georgia",41859,74.49583333333335
"Newton County, Georgia",50806,75.76153846153846
"Oconee County, Georgia",72194,80.83333333333333
"Paulding County, Georgia",60214,77.19375
"Peach County, Georgia",40450,75.53999999999999
"Pickens County, Georgia",67813,77.26666666666667
"Polk County, Georgia",37028,73.72857142857143
"Putnam County, Georgia",49303,75.76666666666667
"Richmond County, Georgia",41672,73.71463414634145
"Washington County, Minnesota",87995,81.84791666666668
"Winona County, Minnesota",55866,80.91111111111111
"Wright County, Minnesota",76306,81.23125000000002
"Adams County, Mississippi",30906,73.14444444444445
"Alcorn County, Mississippi",46756,73.83333333333333
"Bolivar County, Mississippi",25666,74.7375
"Clay County, Mississippi",27220,74.44999999999999
"Coahoma County, Mississippi",21951,74.41428571428571
"Copiah County, Mississippi",34232,74.0
"DeSoto County, Mississippi",60394,76.73030303030303
"Forrest County, Mississippi",33779,73.94375
"George County, Mississippi",46965,74.8
"Grenada County, Mississippi",32418,73.28
"Hancock County, Mississippi",48225,76.27142857142857
"Harrison County, Mississippi",42297,74.145
"Hinds County, Mississippi",39002,75.13333333333331
"Itawamba County, Mississippi",33517,74.96000000000001
"Jackson County, Mississippi",45596,75.12083333333334
"Jones County, Mississippi",32856,75.26923076923077
"Lafayette County, Mississippi",41572,77.87777777777778
"Lamar County, Mississippi",53871,76.3125
"Lauderdale County, Mississippi",37676,74.43333333333334
"Leake County, Mississippi",35948,73.94
"Lee County, Mississippi",39581,77.3722222222222
"Leflore County, Mississippi",24540,72.6875
"Lincoln County, Mississippi",42247,73.26666666666667
"Lowndes County, Mississippi",45274,76.06153846153846
"Madison County, Mississippi",67907,78.79
"Marion County, Mississippi",30107,71.65
"Marshall County, Mississippi",41750,74.02
"Monroe County, Mississippi",40225,75.81111111111112
"Neshoba County, Mississippi",34526,72.6857142857143
"Newton County, Mississippi",29991,73.55999999999999
"Oktibbeha County, Mississippi",43022,77.5625
"Panola County, Mississippi",36223,73.26666666666667
"Pearl River County, Mississippi",43879,74.50000000000001
"Pike County, Mississippi",31881,73.05
"Pontotoc County, Mississippi",34715,77.78
"Prentiss County, Mississippi",41003,76.46
"Rankin County, Mississippi",57500,77.71666666666665
"Scott County, Mississippi",32875,74.11666666666667
"Simpson County, Mississippi",39143,73.9
"Sunflower County, Mississippi",27383,73.6
"Tate County, Mississippi",42056,75.5
"Tippah County, Mississippi",39783,73.55000000000001
"Union County, Mississippi",38310,76.01666666666667
"Warren County, Mississippi",37237,74.21666666666667
"Washington County, Mississippi",24840,72.26842105263158
"Wayne County, Mississippi",34712,74.625
"Yazoo County, Mississippi",37113,73.5
"Adair County, Missouri",43997,77.72
"Audrain County, Missouri",40965,77.12857142857142
"Barry County, Missouri",36102,76.77142857142857
"Boone County, Missouri",50520,79.48260869565217
"Buchanan County, Missouri",49302,75.32400000000001
"Butler County, Missouri",34818,72.56
"Callaway County, Missouri",51431,77.5875
"Camden County, Missouri",55292,79.5090909090909
"Cape Girardeau County, Missouri",49731,77.50714285714285
"Cass County, Missouri",62561,78.02105263157895
"Christian County, Missouri",53730,79.11428571428573
"Clay County, Missouri",65090,78.41666666666667
"Clinton County, Missouri",63665,76.75
"Cole County, Missouri",56855,77.6
"Crawford County, Missouri",35679,75.16
"Dunklin County, Missouri",30690,73.17999999999999
